placeID,Rambience,area,mobility,parking_lot
132767,familiar,open,partially,yes
132954,familiar,closed,partially,yes
132754,familiar,closed,partially,none
132583,familiar,closed,partially,none
132768,familiar,closed,partially,none
135106,familiar,open,partially,none
132717,familiar,closed,partially,public
132872,familiar,closed,partially,public
132755,familiar,closed,partially,public
135104,familiar,closed,completely,yes
132572,familiar,closed,completely,yes
132584,familiar,closed,completely,yes
132733,familiar,closed,completely,yes
132861,familiar,closed,completely,yes
132613,familiar,closed,completely,yes
135001,familiar,closed,completely,yes
132626,familiar,closed,completely,yes
132854,familiar,closed,completely,yes
132609,quiet,closed,completely,yes
132851,familiar,closed,completely,yes
132951,familiar,closed,completely,yes
135018,familiar,open,completely,yes
132866,familiar,closed,completely,yes
132925,familiar,closed,completely,none
132740,familiar,open,completely,none
132667,familiar,closed,completely,none
132732,familiar,open,completely,none
132856,familiar,closed,completely,none
132922,familiar,closed,completely,none
132955,familiar,closed,completely,none
132825,familiar,open,completely,none
132921,quiet,open,completely,none
132858,familiar,closed,completely,none
132937,quiet,closed,completely,none
132958,quiet,closed,completely,none
132594,familiar,open,completely,public
132723,familiar,closed,completely,public
132885,familiar,closed,completely,public
132608,quiet,open,completely,public
132862,familiar,closed,completely,valet parking
134975,familiar,closed,completely,valet parking
135048,familiar,closed,no_accessibility,yes
135062,familiar,closed,no_accessibility,yes
134983,familiar,closed,no_accessibility,yes
135055,familiar,closed,no_accessibility,yes
135045,familiar,closed,no_accessibility,yes
135071,familiar,closed,no_accessibility,yes
135064,familiar,closed,no_accessibility,yes
135070,familiar,closed,no_accessibility,yes
135066,familiar,closed,no_accessibility,yes
135073,familiar,closed,no_accessibility,yes
134996,familiar,closed,no_accessibility,yes
135086,familiar,closed,no_accessibility,yes
134992,familiar,closed,no_accessibility,yes
135035,familiar,closed,no_accessibility,yes
132766,familiar,closed,no_accessibility,yes
135047,familiar,closed,no_accessibility,yes
135046,familiar,closed,no_accessibility,yes
135054,familiar,closed,no_accessibility,yes
135076,familiar,closed,no_accessibility,yes
134976,familiar,closed,no_accessibility,yes
135050,familiar,closed,no_accessibility,yes
135057,familiar,closed,no_accessibility,yes
132869,familiar,closed,no_accessibility,yes
135075,familiar,closed,no_accessibility,yes
135040,familiar,closed,no_accessibility,yes
135039,familiar,closed,no_accessibility,yes
135053,familiar,closed,no_accessibility,yes
135069,familiar,closed,no_accessibility,yes
135059,familiar,closed,no_accessibility,yes
135038,familiar,closed,no_accessibility,none
135000,familiar,closed,no_accessibility,none
135025,familiar,closed,no_accessibility,none
135063,familiar,closed,no_accessibility,none
135082,familiar,closed,no_accessibility,none
135042,familiar,closed,no_accessibility,none
132715,quiet,open,no_accessibility,none
135033,familiar,closed,no_accessibility,none
135030,quiet,closed,no_accessibility,none
135028,familiar,closed,no_accessibility,none
135049,familiar,closed,no_accessibility,none
135079,familiar,closed,no_accessibility,none
135080,familiar,closed,no_accessibility,none
132847,familiar,open,no_accessibility,none
135043,familiar,closed,no_accessibility,none
135072,familiar,closed,no_accessibility,none
135013,familiar,closed,no_accessibility,none
135044,familiar,closed,no_accessibility,none
132846,familiar,open,no_accessibility,none
135060,familiar,closed,no_accessibility,none
134987,familiar,closed,no_accessibility,none
135027,familiar,closed,no_accessibility,none
132870,familiar,closed,no_accessibility,none
135051,familiar,closed,no_accessibility,none
135034,familiar,closed,no_accessibility,none
135081,familiar,closed,no_accessibility,none
135065,familiar,closed,no_accessibility,none
135041,familiar,closed,no_accessibility,none
135109,quiet,closed,no_accessibility,none
132773,familiar,open,no_accessibility,none
135016,familiar,closed,no_accessibility,none
135052,familiar,closed,no_accessibility,none
135011,familiar,closed,no_accessibility,none
132845,familiar,closed,no_accessibility,none
135032,familiar,closed,no_accessibility,public
135074,familiar,closed,no_accessibility,public
135085,familiar,closed,no_accessibility,public
132706,familiar,closed,no_accessibility,public
135058,familiar,closed,no_accessibility,public
135088,quiet,closed,no_accessibility,public
132560,familiar,open,no_accessibility,public
135021,familiar,closed,no_accessibility,public
132834,familiar,closed,no_accessibility,public
132875,familiar,open,no_accessibility,valet parking
